,,,,kp,3,,kd,1.5
2.09,-2.09,0.02,,6.27,,,,
6.28,-6.28,0.02,,18.84,,,,
10.09,-10.09,0.02,,30.27,,,,
13.47,-13.47,0.02,,40.41,,,,
16.47,-16.47,0.02,,49.41,,,,
18.59,-18.59,0.02,,55.77,,,,
20.09,-20.09,0.02,,60.27,,,,
20.84,-20.84,0.02,,62.52,,,,
20.78,-20.78,0.02,,62.34,,,,
20.09,-20.09,0.02,,60.27,,,,
18.53,-18.53,0.02,,55.59,,,,
16.22,-16.22,0.02,,48.66,,,,
13.34,-13.34,0.02,,40.02,,,,
9.9,-9.9,0.02,,29.7,,,,
7.91,-7.91,0.02,,23.73,,,,
3.84,-3.84,0.02,,11.52,,,,
-0.41,0.41,0.02,,-1.23,,,,
-4.91,4.91,0.02,,-14.73,,,,
-7.22,7.22,0.02,,-21.66,,,,
-11.66,11.66,0.02,,-34.98,,,,
-15.97,15.97,0.02,,-47.91,,,,
-19.84,19.84,0.02,,-59.52,,,,
-23.28,23.28,0.02,,-69.84,,,,
-26.16,26.16,0.02,,-78.48,,,,
-28.47,28.47,0.02,,-85.41,,,,
-30.09,30.09,0.02,,-90.27,,,,
-31.03,31.03,0.02,,-93.09,,,,
-31.84,31.84,0.02,,-95.52,,,,
-31.84,31.84,0.02,,-95.52,,,,
-31.53,31.53,0.02,,-94.59,,,,
-30.84,30.84,0.02,,-92.52,,,,
-29.84,29.84,0.02,,-89.52,,,,
-28.28,28.28,0.02,,-84.84,,,,
-26.09,26.09,0.02,,-78.27,,,,
-23.59,23.59,0.02,,-70.77,,,,
-20.28,20.28,0.02,,-60.84,,,,
-16.53,16.53,0.02,,-49.59,,,,
-12.53,12.53,0.02,,-37.59,,,,
-8.28,8.28,0.02,,-24.84,,,,
-6.22,6.22,0.02,,-18.66,,,,
-2.1,2.1,0.02,,-6.3,,,,
1.84,-1.84,0.02,,5.52,,,,
5.66,-5.66,0.02,,16.98,,,,
7.28,-7.28,0.02,,21.84,,,,
10.47,-10.47,0.02,,31.41,,,,
12.9,-12.9,0.02,,38.7,,,,
14.65,-14.65,0.02,,43.95,,,,
15.65,-15.65,0.02,,46.95,,,,
15.9,-15.9,0.02,,47.7,,,,
15.34,-15.34,0.02,,46.02,,,,
14.09,-14.09,0.02,,42.27,,,,
12.15,-12.15,0.02,,36.45,,,,
9.72,-9.72,0.02,,29.16,,,,
6.66,-6.66,0.02,,19.98,,,,
5.03,-5.03,0.02,,15.09,,,,
1.4,-1.4,0.02,,4.2,,,,
-2.6,2.6,0.02,,-7.8,,,,
-6.66,6.66,0.02,,-19.98,,,,
-8.66,8.66,0.02,,-25.98,,,,
-12.66,12.66,0.02,,-37.98,,,,
-16.59,16.59,0.02,,-49.77,,,,
-20.09,20.09,0.02,,-60.27,,,,
-23.28,23.28,0.02,,-69.84,,,,
-25.97,25.97,0.02,,-77.91,,,,
-28.09,28.09,0.02,,-84.27,,,,
-29.66,29.66,0.02,,-88.98,,,,
-31.03,31.03,0.02,,-93.09,,,,
-31.78,31.78,0.02,,-95.34,,,,
-32.22,32.22,0.02,,-96.66,,,,
-32.22,32.22,0.02,,-96.66,,,,
-31.72,31.72,0.02,,-95.16,,,,
-30.72,30.72,0.02,,-92.16,,,,
-29.16,29.16,0.02,,-87.48,,,,
-26.91,26.91,0.02,,-80.73,,,,
-24.09,24.09,0.02,,-72.27,,,,
-20.97,20.97,0.02,,-62.91,,,,
-17.34,17.34,0.02,,-52.02,,,,
-13.6,13.6,0.02,,-40.8,,,,
-9.72,9.72,0.02,,-29.16,,,,
-7.72,7.72,0.02,,-23.16,,,,
-3.66,3.66,0.02,,-10.98,,,,
0.28,-0.28,0.02,,0.84,,,,
3.97,-3.97,0.02,,11.91,,,,
5.72,-5.72,0.02,,17.16,,,,
9.03,-9.03,0.02,,27.09,,,,
11.84,-11.84,0.02,,35.52,,,,
14.22,-14.22,0.02,,42.66,,,,
15.9,-15.9,0.02,,47.7,,,,
16.97,-16.97,0.02,,50.91,,,,
17.4,-17.4,0.02,,52.2,,,,
17.09,-17.09,0.02,,51.27,,,,
16.09,-16.09,0.02,,48.27,,,,
14.34,-14.34,0.02,,43.02,,,,
12.03,-12.03,0.02,,36.09,,,,
9.22,-9.22,0.02,,27.66,,,,
7.47,-7.47,0.02,,22.41,,,,
3.97,-3.97,0.02,,11.91,,,,
0.09,-0.09,0.02,,0.27,,,,
-4.09,4.09,0.02,,-12.27,,,,
-6.16,6.16,0.02,,-18.48,,,,
-10.41,10.41,0.02,,-31.23,,,,
-14.66,14.66,0.02,,-43.98,,,,
-18.72,18.72,0.02,,-56.16,,,,
-22.34,22.34,0.02,,-67.02,,,,
-25.53,25.53,0.02,,-76.59,,,,
-28.09,28.09,0.02,,-84.27,,,,
-30.03,30.03,0.02,,-90.09,,,,
-31.41,31.41,0.02,,-94.23,,,,
-32.66,32.66,0.02,,-97.98,,,,
-33.41,33.41,0.02,,-100.23,,,,
-33.66,33.66,0.02,,-100.98,,,,
-33.53,33.53,0.02,,-100.59,,,,
-33.1,33.1,0.02,,-99.3,,,,
-32.22,32.22,0.02,,-96.66,,,,
-30.53,30.53,0.02,,-91.59,,,,
-28.22,28.22,0.02,,-84.66,,,,
-25.41,25.41,0.02,,-76.23,,,,
-22.03,22.03,0.02,,-66.09,,,,
-18.28,18.28,0.02,,-54.84,,,,
-14.41,14.41,0.02,,-43.23,,,,
-10.22,10.22,0.02,,-30.66,,,,
-6.03,6.03,0.02,,-18.09,,,,
-3.91,3.91,0.02,,-11.73,,,,
0.28,-0.28,0.02,,0.84,,,,
4.22,-4.22,0.02,,12.66,,,,
7.84,-7.84,0.02,,23.52,,,,
9.65,-9.65,0.02,,28.95,,,,
12.59,-12.59,0.02,,37.77,,,,
14.9,-14.9,0.02,,44.7,,,,
16.65,-16.65,0.02,,49.95,,,,
17.65,-17.65,0.02,,52.95,,,,
17.97,-17.97,0.02,,53.91,,,,
17.72,-17.72,0.02,,53.16,,,,
16.72,-16.72,0.02,,50.16,,,,
15.15,-15.15,0.02,,45.45,,,,
13.03,-13.03,0.02,,39.09,,,,
10.28,-10.28,0.02,,30.84,,,,
7.22,-7.22,0.02,,21.66,,,,
3.72,-3.72,0.02,,11.16,,,,
1.9,-1.9,0.02,,5.7,,,,
-1.78,1.78,0.02,,-5.34,,,,
-5.72,5.72,0.02,,-17.16,,,,
-9.47,9.47,0.02,,-28.41,,,,
-11.41,11.41,0.02,,-34.23,,,,
-14.85,14.85,0.02,,-44.55,,,,
-18.09,18.09,0.02,,-54.27,,,,
-20.84,20.84,0.02,,-62.52,,,,
-23.03,23.03,0.02,,-69.09,,,,
-24.72,24.72,0.02,,-74.16,,,,
-25.91,25.91,0.02,,-77.73,,,,
-26.91,26.91,0.02,,-80.73,,,,
-27.34,27.34,0.02,,-82.02,,,,
-27.41,27.41,0.02,,-82.23,,,,
-27.16,27.16,0.02,,-81.48,,,,
-26.53,26.53,0.02,,-79.59,,,,
-25.34,25.34,0.02,,-76.02,,,,
-23.53,23.53,0.02,,-70.59,,,,
-21.22,21.22,0.02,,-63.66,,,,
-18.28,18.28,0.02,,-54.84,,,,
-14.97,14.97,0.02,,-44.91,,,,
-11.41,11.41,0.02,,-34.23,,,,
-7.47,7.47,0.02,,-22.41,,,,
-3.66,3.66,0.02,,-10.98,,,,
-1.72,1.72,0.02,,-5.16,,,,
2.09,-2.09,0.02,,6.27,,,,
5.72,-5.72,0.02,,17.16,,,,
9.09,-9.09,0.02,,27.27,,,,
10.72,-10.72,0.02,,32.16,,,,
13.4,-13.4,0.02,,40.2,,,,
15.53,-15.53,0.02,,46.59,,,,
17.15,-17.15,0.02,,51.45,,,,
18.03,-18.03,0.02,,54.09,,,,
18.15,-18.15,0.02,,54.45,,,,
17.72,-17.72,0.02,,53.16,,,,
16.53,-16.53,0.02,,49.59,,,,
14.72,-14.72,0.02,,44.16,,,,
12.34,-12.34,0.02,,37.02,,,,
9.15,-9.15,0.02,,27.45,,,,
5.72,-5.72,0.02,,17.16,,,,
1.72,-1.72,0.02,,5.16,,,,
-0.35,0.35,0.02,,-1.05,,,,
-4.78,4.78,0.02,,-14.34,,,,
-9.16,9.16,0.02,,-27.48,,,,
-13.41,13.41,0.02,,-40.23,,,,
-17.47,17.47,0.02,,-52.41,,,,
-19.28,19.28,0.02,,-57.84,,,,
-22.78,22.78,0.02,,-68.34,,,,
-25.78,25.78,0.02,,-77.34,,,,
-28.28,28.28,0.02,,-84.84,,,,
-30.03,30.03,0.02,,-90.09,,,,
-31.34,31.34,0.02,,-94.02,,,,
-32.28,32.28,0.02,,-96.84,,,,
-32.66,32.66,0.02,,-97.98,,,,
-32.72,32.72,0.02,,-98.16,,,,
-32.41,32.41,0.02,,-97.23,,,,
-31.59,31.59,0.02,,-94.77,,,,
-30.22,30.22,0.02,,-90.66,,,,
-28.22,28.22,0.02,,-84.66,,,,
-25.59,25.59,0.02,,-76.77,,,,
-22.53,22.53,0.02,,-67.59,,,,
-18.91,18.91,0.02,,-56.73,,,,
-15.03,15.03,0.02,,-45.09,,,,
-11.03,11.03,0.02,,-33.09,,,,
-6.97,6.97,0.02,,-20.91,,,,
-2.85,2.85,0.02,,-8.55,,,,
-0.78,0.78,0.02,,-2.34,,,,
3.22,-3.22,0.02,,9.66,,,,
6.91,-6.91,0.02,,20.73,,,,
10.15,-10.15,0.02,,30.45,,,,
12.84,-12.84,0.02,,38.52,,,,
14.9,-14.9,0.02,,44.7,,,,
16.47,-16.47,0.02,,49.41,,,,
17.15,-17.15,0.02,,51.45,,,,
17.15,-17.15,0.02,,51.45,,,,
16.4,-16.4,0.02,,49.2,,,,
14.78,-14.78,0.02,,44.34,,,,
13.84,-13.84,0.02,,41.52,,,,
11.15,-11.15,0.02,,33.45,,,,
7.97,-7.97,0.02,,23.91,,,,
4.22,-4.22,0.02,,12.66,,,,
0.03,-0.03,0.02,,0.09,,,,
-4.47,4.47,0.02,,-13.41,,,,
-6.97,6.97,0.02,,-20.91,,,,
-11.78,11.78,0.02,,-35.34,,,,
-16.66,16.66,0.02,,-49.98,,,,
-21.53,21.53,0.02,,-64.59,,,,
-26.16,26.16,0.02,,-78.48,,,,
-30.41,30.41,0.02,,-91.23,,,,
-34.35,34.35,0.02,,-103.05,,,,
-37.72,37.72,0.02,,-113.16,,,,
-40.6,40.6,0.02,,-121.8,,,,
-42.97,42.97,0.02,,-128.91,,,,
-44.85,44.85,0.02,,-134.55,,,,
-46.35,46.35,0.02,,-139.05,,,,
-47.47,47.47,0.02,,-142.41,,,,
-48.1,48.1,0.02,,-144.3,,,,
-48.03,48.03,0.02,,-144.09,,,,
-47.41,47.41,0.02,,-142.23,,,,
-46.1,46.1,0.02,,-138.3,,,,
-44.03,44.03,0.02,,-132.09,,,,
-41.28,41.28,0.02,,-123.84,,,,
-38.03,38.03,0.02,,-114.09,,,,
-34.28,34.28,0.02,,-102.84,,,,
-30.09,30.09,0.02,,-90.27,,,,
-25.72,25.72,0.02,,-77.16,,,,
-21.03,21.03,0.02,,-63.09,,,,
-15.97,15.97,0.02,,-47.91,,,,
-13.28,13.28,0.02,,-39.84,,,,
-8.22,8.22,0.02,,-24.66,,,,
-3.16,3.16,0.02,,-9.48,,,,
1.78,-1.78,0.02,,5.34,,,,
6.22,-6.22,0.02,,18.66,,,,
8.34,-8.34,0.02,,25.02,,,,
12.15,-12.15,0.02,,36.45,,,,
15.4,-15.4,0.02,,46.2,,,,
18.03,-18.03,0.02,,54.09,,,,
19.97,-19.97,0.02,,59.91,,,,
21.09,-21.09,0.02,,63.27,,,,
21.4,-21.4,0.02,,64.2,,,,
20.9,-20.9,0.02,,62.7,,,,
19.59,-19.59,0.02,,58.77,,,,
17.59,-17.59,0.02,,52.77,,,,
14.84,-14.84,0.02,,44.52,,,,
11.47,-11.47,0.02,,34.41,,,,
7.78,-7.78,0.02,,23.34,,,,
3.72,-3.72,0.02,,11.16,,,,
1.4,-1.4,0.02,,4.2,,,,
-2.97,2.97,0.02,,-8.91,,,,
-7.53,7.53,0.02,,-22.59,,,,
-12.28,12.28,0.02,,-36.84,,,,
-16.72,16.72,0.02,,-50.16,,,,
-20.97,20.97,0.02,,-62.91,,,,
-24.72,24.72,0.02,,-74.16,,,,
-27.97,27.97,0.02,,-83.91,,,,
-30.59,30.59,0.02,,-91.77,,,,
-32.6,32.6,0.02,,-97.8,,,,
-33.35,33.35,0.02,,-100.05,,,,
-34.72,34.72,0.02,,-104.16,,,,
-35.35,35.35,0.02,,-106.05,,,,
-35.66,35.66,0.02,,-106.98,,,,
-35.66,35.66,0.02,,-106.98,,,,
-35.22,35.22,0.02,,-105.66,,,,
-34.22,34.22,0.02,,-102.66,,,,
-32.6,32.6,0.02,,-97.8,,,,
-30.47,30.47,0.02,,-91.41,,,,
-27.59,27.59,0.02,,-82.77,,,,
-24.16,24.16,0.02,,-72.48,,,,
-20.41,20.41,0.02,,-61.23,,,,
-16.22,16.22,0.02,,-48.66,,,,
-11.85,11.85,0.02,,-35.55,,,,
-7.53,7.53,0.02,,-22.59,,,,
-3.1,3.1,0.02,,-9.3,,,,
1.28,-1.28,0.02,,3.84,,,,
3.41,-3.41,0.02,,10.23,,,,
7.28,-7.28,0.02,,21.84,,,,
10.78,-10.78,0.02,,32.34,,,,
13.65,-13.65,0.02,,40.95,,,,
16.03,-16.03,0.02,,48.09,,,,
17.65,-17.65,0.02,,52.95,,,,
18.65,-18.65,0.02,,55.95,,,,
18.9,-18.9,0.02,,56.7,,,,
18.28,-18.28,0.02,,54.84,,,,
17.03,-17.03,0.02,,51.09,,,,
14.9,-14.9,0.02,,44.7,,,,
12.09,-12.09,0.02,,36.27,,,,
8.59,-8.59,0.02,,25.77,,,,
6.66,-6.66,0.02,,19.98,,,,
2.34,-2.34,0.02,,7.02,,,,
-2.16,2.16,0.02,,-6.48,,,,
-6.84,6.84,0.02,,-20.52,,,,
-9.41,9.41,0.02,,-28.23,,,,
-14.22,14.22,0.02,,-42.66,,,,
-18.72,18.72,0.02,,-56.16,,,,
-23.16,23.16,0.02,,-69.48,,,,
-27.03,27.03,0.02,,-81.09,,,,
-29.97,29.97,0.02,,-89.91,,,,
-32.35,32.35,0.02,,-97.05,,,,
-33.85,33.85,0.02,,-101.55,,,,
-34.66,34.66,0.02,,-103.98,,,,
-35.28,35.28,0.02,,-105.84,,,,
-35.16,35.16,0.02,,-105.48,,,,
-34.6,34.6,0.02,,-103.8,,,,
-33.6,33.6,0.02,,-100.8,,,,
-32.1,32.1,0.02,,-96.3,,,,
-30.03,30.03,0.02,,-90.09,,,,
-27.47,27.47,0.02,,-82.41,,,,
-24.41,24.41,0.02,,-73.23,,,,
-20.78,20.78,0.02,,-62.34,,,,
-16.66,16.66,0.02,,-49.98,,,,
-12.41,12.41,0.02,,-37.23,,,,
-8.03,8.03,0.02,,-24.09,,,,
-5.84,5.84,0.02,,-17.52,,,,
-1.66,1.66,0.02,,-4.98,,,,
2.34,-2.34,0.02,,7.02,,,,
6.09,-6.09,0.02,,18.27,,,,
7.78,-7.78,0.02,,23.34,,,,
10.84,-10.84,0.02,,32.52,,,,
13.34,-13.34,0.02,,40.02,,,,
15.28,-15.28,0.02,,45.84,,,,
16.4,-16.4,0.02,,49.2,,,,
16.84,-16.84,0.02,,50.52,,,,
16.53,-16.53,0.02,,49.59,,,,
15.59,-15.59,0.02,,46.77,,,,
13.9,-13.9,0.02,,41.7,,,,
11.53,-11.53,0.02,,34.59,,,,
8.72,-8.72,0.02,,26.16,,,,
5.22,-5.22,0.02,,15.66,,,,
3.41,-3.41,0.02,,10.23,,,,
-0.6,0.6,0.02,,-1.8,,,,
-4.84,4.84,0.02,,-14.52,,,,
-9.16,9.16,0.02,,-27.48,,,,
-11.35,11.35,0.02,,-34.05,,,,
-15.66,15.66,0.02,,-46.98,,,,
-19.59,19.59,0.02,,-58.77,,,,
-23.22,23.22,0.02,,-69.66,,,,
-26.34,26.34,0.02,,-79.02,,,,
-28.97,28.97,0.02,,-86.91,,,,
-30.91,30.91,0.02,,-92.73,,,,
-32.16,32.16,0.02,,-96.48,,,,
-33.03,33.03,0.02,,-99.09,,,,
-33.35,33.35,0.02,,-100.05,,,,
-33.22,33.22,0.02,,-99.66,,,,
-32.53,32.53,0.02,,-97.59,,,,
-31.41,31.41,0.02,,-94.23,,,,
-29.59,29.59,0.02,,-88.77,,,,
-27.34,27.34,0.02,,-82.02,,,,
-24.34,24.34,0.02,,-73.02,,,,
-20.78,20.78,0.02,,-62.34,,,,
-16.91,16.91,0.02,,-50.73,,,,
-12.47,12.47,0.02,,-37.41,,,,
-7.84,7.84,0.02,,-23.52,,,,
-3.22,3.22,0.02,,-9.66,,,,
-1.03,1.03,0.02,,-3.09,,,,
3.28,-3.28,0.02,,9.84,,,,
7.47,-7.47,0.02,,22.41,,,,
11.22,-11.22,0.02,,33.66,,,,
14.47,-14.47,0.02,,43.41,,,,
17.15,-17.15,0.02,,51.45,,,,
18.28,-18.28,0.02,,54.84,,,,
19.9,-19.9,0.02,,59.7,,,,
20.97,-20.97,0.02,,62.91,,,,
21.03,-21.03,0.02,,63.09,,,,
20.47,-20.47,0.02,,61.41,,,,
19.15,-19.15,0.02,,57.45,,,,
17.15,-17.15,0.02,,51.45,,,,
14.4,-14.4,0.02,,43.2,,,,
11.09,-11.09,0.02,,33.27,,,,
7.28,-7.28,0.02,,21.84,,,,
2.97,-2.97,0.02,,8.91,,,,
-1.66,1.66,0.02,,-4.98,,,,
-3.85,3.85,0.02,,-11.55,,,,
-8.72,8.72,0.02,,-26.16,,,,
-13.47,13.47,0.02,,-40.41,,,,
-18.22,18.22,0.02,,-54.66,,,,
-22.47,22.47,0.02,,-67.41,,,,
-26.28,26.28,0.02,,-78.84,,,,
-29.53,29.53,0.02,,-88.59,,,,
-32.1,32.1,0.02,,-96.3,,,,
-33.97,33.97,0.02,,-101.91,,,,
-35.03,35.03,0.02,,-105.09,,,,
-35.91,35.91,0.02,,-107.73,,,,
-35.97,35.97,0.02,,-107.91,,,,
-35.66,35.66,0.02,,-106.98,,,,
-34.85,34.85,0.02,,-104.55,,,,
-33.6,33.6,0.02,,-100.8,,,,
-31.78,31.78,0.02,,-95.34,,,,
-29.34,29.34,0.02,,-88.02,,,,
-26.34,26.34,0.02,,-79.02,,,,
-22.78,22.78,0.02,,-68.34,,,,
-20.91,20.91,0.02,,-62.73,,,,
-16.66,16.66,0.02,,-49.98,,,,
-12.53,12.53,0.02,,-37.59,,,,
-8.35,8.35,0.02,,-25.05,,,,
-4.16,4.16,0.02,,-12.48,,,,
-0.22,0.22,0.02,,-0.66,,,,
3.34,-3.34,0.02,,10.02,,,,
5.09,-5.09,0.02,,15.27,,,,
7.97,-7.97,0.02,,23.91,,,,
10.34,-10.34,0.02,,31.02,,,,
12.09,-12.09,0.02,,36.27,,,,
13.22,-13.22,0.02,,39.66,,,,
13.53,-13.53,0.02,,40.59,,,,
13.22,-13.22,0.02,,39.66,,,,
12.15,-12.15,0.02,,36.45,,,,
10.4,-10.4,0.02,,31.2,,,,
8.03,-8.03,0.02,,24.09,,,,
6.72,-6.72,0.02,,20.16,,,,
3.59,-3.59,0.02,,10.77,,,,
0.03,-0.03,0.02,,0.09,,,,
-3.78,3.78,0.02,,-11.34,,,,
-7.91,7.91,0.02,,-23.73,,,,
-10.22,10.22,0.02,,-30.66,,,,
-14.41,14.41,0.02,,-43.23,,,,
-18.59,18.59,0.02,,-55.77,,,,
-22.59,22.59,0.02,,-67.77,,,,
-26.22,26.22,0.02,,-78.66,,,,
-29.47,29.47,0.02,,-88.41,,,,
-32.16,32.16,0.02,,-96.48,,,,
-34.35,34.35,0.02,,-103.05,,,,
-36.22,36.22,0.02,,-108.66,,,,
-37.41,37.41,0.02,,-112.23,,,,
-38.22,38.22,0.02,,-114.66,,,,
-38.53,38.53,0.02,,-115.59,,,,
-38.35,38.35,0.02,,-115.05,,,,
-37.47,37.47,0.02,,-112.41,,,,
-35.85,35.85,0.02,,-107.55,,,,
-33.47,33.47,0.02,,-100.41,,,,
-30.59,30.59,0.02,,-91.77,,,,
-27.09,27.09,0.02,,-81.27,,,,
-22.91,22.91,0.02,,-68.73,,,,
-18.41,18.41,0.02,,-55.23,,,,
-13.66,13.66,0.02,,-40.98,,,,
-8.78,8.78,0.02,,-26.34,,,,
-6.34,6.34,0.02,,-19.02,,,,
-1.22,1.22,0.02,,-3.66,,,,
3.72,-3.72,0.02,,11.16,,,,
8.34,-8.34,0.02,,25.02,,,,
10.53,-10.53,0.02,,31.59,,,,
14.59,-14.59,0.02,,43.77,,,,
18.09,-18.09,0.02,,54.27,,,,
20.84,-20.84,0.02,,62.52,,,,
22.9,-22.9,0.02,,68.7,,,,
24.4,-24.4,0.02,,73.2,,,,
25.09,-25.09,0.02,,75.27,,,,
25.03,-25.03,0.02,,75.09,,,,
24.09,-24.09,0.02,,72.27,,,,
22.4,-22.4,0.02,,67.2,,,,
19.97,-19.97,0.02,,59.91,,,,
17.03,-17.03,0.02,,51.09,,,,
13.59,-13.59,0.02,,40.77,,,,
9.53,-9.53,0.02,,28.59,,,,
5.28,-5.28,0.02,,15.84,,,,
0.84,-0.84,0.02,,2.52,,,,
-1.35,1.35,0.02,,-4.05,,,,
-5.91,5.91,0.02,,-17.73,,,,
-10.16,10.16,0.02,,-30.48,,,,
-14.35,14.35,0.02,,-43.05,,,,
